V,Lyon:D,9::V,Villeurbanne;N,20::R,Les Echets;N,18::L,We are sports;;
L,Musée des Confluences:D,6::R,Chamas Tacos;D,2::L,Aquarium de Lyon;D,5::V,Oullins;;
R,McDo-Décines:N,15::L,Parc de la tête d'Or;A,80::V,Mâcon;N,29::L,Musée des Confluences;;
R,Chamas Tacos:A,8::L,Aquarium de Lyon;D,4::L,Centre commercial Westfield Part-Dieu;N,16::V,Dardilly;;
L,Parc de la Tête d'Or:D,3::R,Le bistrot d'Alexis;N,11::V,Ecully;D,7::L,France Aventures Lyon Fourvière;; 
V,Villeurbanne:N,13::V,Vénissieux;D,2::R,La Tamtamerie;D,9::L,Royal Kids Chassieu;;
R,Les Echets:N,31::V,Feyzin;A,17::L,Parc de la Tête d'Or;A,13::V,Vaulx-en-Velin;;
L,We are sports:A,17::R,Le caveau des gourmands;N,10::V,Pierre-Bénite;N,8::R,La Tamtamerie;;
L,Royal Kids Chassieu:D,7::R,La Tamtamerie;D,35::V,Francheville;N,28::V,Collonges-au-Mont-d'Or;;
V,Meyzieu:N,13::V,Villeurbanne;N,23::V,Tassin-la-Demi-Lune;N,29::L,Aquarium de Lyon;;
V,Bron:N,14::L,Aquarium de Lyon;N,15::V,La Mulatière;A,83::V,Mâcon;;
V,Oullins:A,15::V,Dardilly;D,10::R,Le Bistrot D'Alexis;A,10::L,France Aventures Lyon Fourvière;;
L,Centre commercial Westfield Part-Dieu:A,13::V,Dardilly;D,3::R,Chamas Tacos;D,7::V,Vaulx-en-Velin;;
V,Feyzin:A,23::V,Saint-Didier-Au-Mont-D'or;A,18::V,Ecully;A,15::L,UGC Ciné Cité Part-Dieu;;
V,Ecully:N,22::R,McDo-Décines;A,20::L,We are sports;D,5::L,France Aventures Lyon Fourvière;;
R,Le Bistrot D'Alexis:N,16::V,Ecully;D,4::R,Engimoni;N,20::V,Dardilly;;
V,Francheville:N,28::V,Chassieu;D,16::L,UGC Ciné Cité Part-Dieu;A,19::V,Saint-Fons;;
R,Engimono:D,5::V,Villeurbanne;A,8::V,Ecully;D,2::R,Le caveau des gourmands;;
V,Saint-Fons:N,25::R,Les Echets;D,3::V,Vénissieux;N,14::L,Royal Kids Chassieu;;
V,Vénissieux:D,9::L,UGC Ciné Cité Part-Dieu;A,24::V,Dardilly;D,6::V,Bron;;
L,UGC Ciné Cité Part-Dieu:D,3::R,Chamas Tacos;A,74::V,Mâcon;D,6::L,Aquarium de Lyon;;
R,McDo-Tassin-la-Demi-Lune:A,10::L,Aquarium de Lyon;N,14::V,Villeurbanne;A,22::V,Vénissieux;;
V,Dardilly:A,25::V,Vénissieux;N,19::R,La Tamtamerie;N,14::L,Parc de la tête d'Or;;
V,Chassieu:N,14::L,Parc de la tête d'Or;N,11::R,Chamas Tacos;N,22::V,Saint-Romain-au-Mont-d'Or;;
V,Saint-Romain-au-Mont-d'Or:A,17::L,Aquarium De Lyon;D,20::V,Bron;N,18::R,La Tamtamerie;;
L,Aquarium de Lyon:N,30::V,Meyzieu;D,2::V,Oullins;A,13::V,Dardilly;;
V,Collonges-au-Mont-d'Or:D,11::V,Dardilly;A,15::V,La Mulatière;D,17::V,Francheville;;
V,Mâcon:A,77::R,Chamas Tacos;A,86::L,We are sports;A,83::V,Bron;;
V,Saint-Didier-Au-Mont-D'or:N,19::V,Bron;N,22::V,Vénissieux;D,7::R,Le caveau des gourmands;;
R,La Tamtamerie:D,8::V,Chassieu;N,21::V,Dardilly;D,7::L,Royal Kids Chassieu;;
V,Rillieux-la-Pape:D,10::R,La Tamtamerie;N,20::L,Aquarium de Lyon;D,10::R,Engimono;;
V,Caluire-et-Cuire:D,13::V,Bron;N,12::R,McDo-Tassin-la-Demi-Lune;D,16::L,We are sports;;
L,France Aventures Lyon Fourvière:N,21::R,Mcdo-Décines;A,20::V,Vénissieux;A,22::V,Bron;;
V,Pierre-Bénite:D,3::V,La Mulatière;N,19::R,Chamas Tacos;A,14::V,Caluire-et-Cuire;;
V,La Mulatière:D,14::V,Rillieux-La-Pape;A,74::V,Mâcon;A,9::R,Le Bistrot D'Alexis;;
V,Tassin-la-Demi-Lune:A,16::V,Saint-Fons;A,9::V,La Mulatière;A,7::L,Aquarium de Lyon;;
V,Vaulx-en-Velin:N,20::L,Aquarium de Lyon;D,4::R,La Tamtamerie;N,12::V,Vénissieux;;
R,Le caveau des gourmands:A,72::V,Mâcon;D,15::V,Bron;D,3::L,Centre commercial Westfield Part-Dieu;;
V,Champagne-au-Mont-d'Or:D,7::R,Le caveau des gourmands;A,12::V,La Mulatière;N,22::R,McDo-Décines;;
V,Sainte-Foy-lès-Lyon:N,19::V,Villeurbanne;N,19::L,Royal Kids Chassieu;N,16::R,La Tamtamerie;;
